Año,Estado,Mes,Delegación,Colonia,Tipo,Ruta,Limite 1,Limite 2,Distancia Recorrida,Evidencia,Link,Foto de Evidencia,Display,Formato de Anuncio,No,Anunciante(s),Cat,Campaña,Industria
2022,CDMX,Julio,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8ad00435-c54a-4376-b645-11310e19d4a1%5D%2Fanuncio_foto_44,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8ad00435-c54a-4376-b645-11310e19d4a1%5D%2Fanuncio_foto_44,,Muro Publicitario,Impreso,11,ADIDAS,,OZ WORLD,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8ad00435-c54a-4376-b645-11310e19d4a1%5D%2Fanuncio_foto_50,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8ad00435-c54a-4376-b645-11310e19d4a1%5D%2Fanuncio_foto_50,,Barandales,Digital,12,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A75a60b74-805c-4174-a197-9602084fc047%5D%2Fanuncio_foto_17,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A75a60b74-805c-4174-a197-9602084fc047%5D%2Fanuncio_foto_17,,Banner flotante,Impreso,13,ADIDAS,,Tu viaje comienza ahora,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab087a6fe-2735-4ec4-9eed-223182446621%5D%2Fanuncio_foto_45,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab087a6fe-2735-4ec4-9eed-223182446621%5D%2Fanuncio_foto_45,,Barandales,Impreso,14,ADIDAS,,Branding,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab087a6fe-2735-4ec4-9eed-223182446621%5D%2Fanuncio_foto_46,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab087a6fe-2735-4ec4-9eed-223182446621%5D%2Fanuncio_foto_46,,Banner flotante,Impreso,15,ADIDAS,,Branding,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab087a6fe-2735-4ec4-9eed-223182446621%5D%2Fanuncio_foto_47,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab087a6fe-2735-4ec4-9eed-223182446621%5D%2Fanuncio_foto_47,,Barandales,Impreso,16,ADIDAS,,Tu viaje comienza ahora,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_6,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_6,,Antetecho,Impreso,17,ADIDAS,,Branding,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_28,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_28,,Antetecho,Impreso,18,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_29,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_29,,Muro Publicitario,Impreso,19,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_41,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_41,,Barandales,Impreso,20,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_42,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_42,,Póster,Impreso,21,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_43,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_43,,Vinilo de Piso,Impreso,22,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_44,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_44,,Barandales,Impreso,23,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_45,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_45,,Póster,Impreso,24,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_46,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_46,,Barandales,Impreso,25,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_47,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_47,,Barandales,Impreso,26,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_48,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A980a56e6-6ebf-485c-a4a5-1579fb8ad50f%5D%2Fanuncio_foto_48,,Antetecho,Impreso,27,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A12504f82-749d-4574-93c6-ef5dd173852d%5D%2Fanuncio_foto_4,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A12504f82-749d-4574-93c6-ef5dd173852d%5D%2Fanuncio_foto_4,,Muro Publicitario,Impreso,28,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A12504f82-749d-4574-93c6-ef5dd173852d%5D%2Fanuncio_foto_6,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A12504f82-749d-4574-93c6-ef5dd173852d%5D%2Fanuncio_foto_6,,Banner elevador,Impreso,29,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A12504f82-749d-4574-93c6-ef5dd173852d%5D%2Fanuncio_foto_10,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A12504f82-749d-4574-93c6-ef5dd173852d%5D%2Fanuncio_foto_10,,Banner elevador,Impreso,30,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,CDMX,Julio,Coyoacán,Miguel Ángel De Quevedo,Centros Comerciales,Plaza Oasis,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A74e242f2-a654-4bbb-983b-bde32800c801%5D%2Fanuncio_foto_48,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A74e242f2-a654-4bbb-983b-bde32800c801%5D%2Fanuncio_foto_48,,Muro Publicitario,Impreso,31,ADIDAS,,El origen que nos une,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
2022,Nuevo León,Julio,San Nicolás De Los Garza,Miguel Alemán,Centros Comerciales,Paseo La Fe,N/A,N/A,2 Kilometros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4468b074-4c4f-4ed0-b5ff-a40b332c9a3d%5D%2Fanuncio_foto_8,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4468b074-4c4f-4ed0-b5ff-a40b332c9a3d%5D%2Fanuncio_foto_8,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+Jul+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4468b074-4c4f-4ed0-b5ff-a40b332c9a3d%5D%2Fanuncio_foto_8,Mkt de Guerrilla,Impreso,32,ADIDAS,,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos"
