Año,Estado,Mes,Delegación,Colonia,Tipo,Ruta,Limite 1,Limite 2,Distancia Recorrida,Evidencia,Link,Foto de Evidencia,Display,Formato de Anuncio,ID,Anunciante(s),Campaña,Industria,Precio estimado,Fecha de Revisión,BUM
2022,Jalisco,Mayo,Zapopan,Puerta De Hierro,Centros Comerciales,Plaza Andares,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A75f91f19-dd76-467c-bf63-df97433bb6e0%5D%2Fanuncio_foto_17,,,Directorio ,Digital,11,ACUARELA,BRANDING,"Cementos, Construcción e Inmobiliaria",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_8,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_8,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_8,Muro Publicitario,Impreso,12,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_9,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_9,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_9,Muro Publicitario,Impreso,13,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_13,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_13,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6d2a94be-7138-4f97-81f9-a7c09121d367%5D%2Fanuncio_foto_13,Muro Publicitario,Impreso,14,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_1,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_1,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_1,Banner Flotante,Impreso,15,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_2,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_2,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_2,Barandales,Impreso,16,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_2,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_2,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aebe14a29-ee43-4d29-b445-f22679cddccf%5D%2Fanuncio_foto_2,Barandales,Impreso,17,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A95580a7f-76e5-4c75-acee-819030c85a21%5D%2Fanuncio_foto_38,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A95580a7f-76e5-4c75-acee-819030c85a21%5D%2Fanuncio_foto_38,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A95580a7f-76e5-4c75-acee-819030c85a21%5D%2Fanuncio_foto_38,Banner Flotante,Impreso,18,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63ef5e05-32d6-48d2-843c-6d618ef6655f%5D%2Fanuncio_foto_29,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63ef5e05-32d6-48d2-843c-6d618ef6655f%5D%2Fanuncio_foto_29,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63ef5e05-32d6-48d2-843c-6d618ef6655f%5D%2Fanuncio_foto_29,Barandales,Impreso,19,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Cuajimalpa De Morelos,Lomas De Santa Fe,Centros Comerciales,Centro Comercial Santa Fe,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63ef5e05-32d6-48d2-843c-6d618ef6655f%5D%2Fanuncio_foto_29,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63ef5e05-32d6-48d2-843c-6d618ef6655f%5D%2Fanuncio_foto_29,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A63ef5e05-32d6-48d2-843c-6d618ef6655f%5D%2Fanuncio_foto_29,Barandales,Impreso,20,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adadfae2f-3a9c-49b4-a9b4-df7b2f520964%5D%2Fanuncio_foto_2,,,Muro Publicitario,Impreso,21,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adadfae2f-3a9c-49b4-a9b4-df7b2f520964%5D%2Fanuncio_foto_10,,,Antetecho,Impreso,22,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adadfae2f-3a9c-49b4-a9b4-df7b2f520964%5D%2Fanuncio_foto_23,,,Mkt de guerrilla,Impreso,23,ADIDAS,BRANDING,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A3c36fb52-133c-4a84-a8df-eadf45aece0c%5D%2Fanuncio_foto_4,,,Barandales,Digital,24,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A3c36fb52-133c-4a84-a8df-eadf45aece0c%5D%2Fanuncio_foto_50,,,Muro Publicitario,Impreso,25,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adadfae2f-3a9c-49b4-a9b4-df7b2f520964%5D%2Fanuncio_foto_15,,,Muro Publicitario,Impreso,26,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac2c55bc4-5a96-413e-8067-0bf87659d539%5D%2Fanuncio_foto_1,,,Mkt de Guerrilla,Impreso,27,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac2c55bc4-5a96-413e-8067-0bf87659d539%5D%2Fanuncio_foto_3,,,Muro Publicitario,Impreso,28,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Coyoacán,Ampliación Pedregal De San Ángel,Centros Comerciales,Galerías Perisur,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac2c55bc4-5a96-413e-8067-0bf87659d539%5D%2Fanuncio_foto_1,,,Mkt de Guerrilla,Impreso,29,ADIDAS,TU VIAJE COMIENZA AHORA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_15,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_15,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_15,Antetecho,Impreso,30,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_17,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_17,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_17,Muro Publicitario,Impreso,31,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
2022,CDMX,Mayo,Benito Juárez,Narvarte,Centros Comerciales,Parque Delta,N/A,N/A,2 Kilómetros,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_18,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_18,https://encuestas.visibility.com.mx:8443/view/binaryData?blobKey=Encuesta+Publicidad+Exterior+May+22%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2f853247-c802-4ba5-a9c5-9f62339b1bd7%5D%2Fanuncio_foto_18,Mkt de Guerrilla,Impreso,32,ADIDAS,AL RIHLA,"Ropa, Relojeria, Lentes, Accesorios Personales y Cosmeticos",,,
