ID,Establecimiento,Razón Social,Actividad,Personal,Dirección,Municipio,Entidad,Municipio,Localidad,AGEB,Tel,E-mail,Sitio Web,Fijo/Semi,Lat,Lon,Fecha Alta,Referencia,Interes
3558240,CERATIZIT,CERATIZIT MÉXICO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"CALLE RUFINO TAMAYO #19, FRACCIONAMIENTO PUEBLO NUEVO, C.P. 76900",Corregidora,22,006,0001,002A,,RAFAEL.NUNEZ@CERATIZIT.COM,WWW.CERATIZIT.COM,Fijo,20.54713804,-100.4279793,2010-07,220060001002A,SI
3610457,CIMBRA Y MATERIALES PARA LA CONSTRICCION FLORES,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE PEREJIL #18, COLONIA EL ROMERILLAL, C.P. 76118",Querétaro,22,014,0001,3331,,,,Fijo,20.64941259,-100.4610443,2010-07,2201400013331,SI
9340227,COGUTSA MATERIALES,COGUTSA MATERIALES SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA 5 DE FEBRERO #1716, PARQUE INDUSTRIAL BENITO JUAREZ, C.P. ",Querétaro,22,014,0001,0750,,ALEJANDRAFRIAS@COGUTSA.COM,WWW.COGUTSA.COM,Fijo,20.63327045,-100.4268917,2021-05,2201400010750,SI
3568421,COMERCIALIZADORA FERRETERA SG,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE SAN AGUSTIN DEL RETABLO #76, MANZANA LA ERA, C.P. 76000",Querétaro,22,014,0001,1829,4422120995,,,Fijo,20.59738808,-100.4040486,2010-07,2201400011829,SI
8720381,COMERCIALIZCION OMEGA,COMERCIALIZACION OMEGA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE EZEQUIEL MONTES #96, COLONIA CENTRO HISTORICO, C.P. 76000",Querétaro,22,014,0001,0375,,OMEGASADECV.COMERCIALIZACION@GMAIL.COM,,Fijo,20.59444264,-100.3988787,2019-11,2201400010375,SI
8162489,"COMERCIO AL POR MAYOR DE CEMENTO, TABIQUE Y GRAVA",,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE CALLE DE SORIANO #112, COLONIA EL ROSARIO, C.P. 76138",Querétaro,22,014,0001,1833,4423571753,,,Fijo,20.5819739,-100.418594,2019-11,2201400011833,SI
6874387,CONCRETO SANTANDREA,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE QUERETARO-CHICHIMEQUILLAS KM 5.30 #0, COLONIA FRAY JUNIPERO SERRA, C.P. 76147",Querétaro,22,014,0101,3242,,CONCRETOS@SANTANDREA.COM.MX,WWW.SANTANDREA.COM.MX,Fijo,20.65875832,-100.3743112,2019-04,2201401013242,SI
3613842,CONIN MATERIALES,CONIN MATERIALES SA DE CV,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE JARDINEROS #91, COLONIA PEÑUELAS, C.P. 76148",Querétaro,22,014,0001,1405,4422463239,CONINMATERIALESSADECV@PRODIGY.NET.MX,WWWCONINMATERIALES.COM.MX,Fijo,20.63193937,-100.4017996,2010-07,2201400011405,SI
8255343,CONSTRU MATERIALES B AJIO,CONSTRU MATERIALES BAJIO ,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"OTRO (ESPECIFIQUE) NINGUNO #, COLONIA LOS ANGELES, C.P. 76908",Corregidora,22,006,0010,0617,,,,Fijo,20.53810914,-100.4834996,2019-11,2200600100617,SI
6492904,CONSTRUCCIONES PREFABRICADAS GRUPO RIO SA DE CV,CONSTRUCCIONES PREFABRICADAS GRUPO RIO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA CONSTITUYENTES #, FRACCIONAMIENTO EL JACAL, C.P. 76180",Querétaro,22,014,0001,2403,4422161739,INFO@GRIO.COM.MX,,Fijo,20.56403058,-100.4131897,2016-01,2201400012403,SI
3596521,CONSTRUCOMER QUERETANA,CONSTRUCOMER QUERETANA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA LUIS VEGA Y MONROY #505, COLONIA BALAUSTRADAS, C.P. 76079",Querétaro,22,014,0001,1458,,CONSTRUCOMERQUERETANA@PRODIGY.NET.MX,,Fijo,20.57646697,-100.3804437,2014-12,2201400011458,SI
6381619,CONSTRULANDIA,CONSTRULANDIA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",31 a 50 personas,"CALLE LIBRAMIENTO SUR PONIENTE #312, COLONIA BOSQUE DE LAS LOMAS, C.P. 76087",Querétaro,22,014,0001,3505,,RH@CONSTRULANDIA.COM,WWW.CONSTRULANDIA.COM,Fijo,20.55295002,-100.3689628,2010-07,2201400013505,SI
3558788,CONSTRURAMA,MATERIALES EL PUEBLITO S DE RL DE CV,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE HEROICO COLEGIO MILITAR #21, LOCALIDAD EL PUEBLITO, C.P. 76900",Corregidora,22,006,0001,0034,4422250280,MATELPUE@HOTMAIL.COM,,Fijo,20.53509713,-100.4404157,2010-07,2200600010034,SI
3611221,CONSTRURAMA,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"AVENIDA AVENIDA DE LA LUZ #220, COLONIA SATELITE, C.P. 76110",Querétaro,22,014,0001,0106,4422182780,,,Fijo,20.63872619,-100.447783,2010-07,2201400010106,SI
3547945,CONSTRURAMA DEL VALLE,ABASTECEDORA Y MATERIALES DEL VALLE DE QUERETARO S DE RL DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"PROLONGACION 27 #46, COLONIA LOMAS DEL CIMATARIO 2DA SECCION, C.P. 76087",Querétaro,22,014,0001,2456,4422223395,MATDELVALLE@YAHOO.COM.MX,,Fijo,20.55563513,-100.3877421,2010-07,2201400012456,SI
3543593,CONSTRURAMA LAS TORRES,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"PROLONGACION PASTEUR #105, COLONIA COMERCIANTES, C.P. 76087",Querétaro,22,014,0001,1886,44223410508,CLAUDIAPEREZ01@PRODYGY.NET.MX,,Fijo,20.56540803,-100.3829382,2010-07,2201400011886,SI
8178378,CONSTRURAMAVISTA AZUL,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"BOULEVARD BOULEVARD DE LOS GOBERNADORES #, COLONIA VISTA AZUL, C.P. 76080",Querétaro,22,014,0001,3045,,,,Fijo,20.55515452,-100.3712889,2019-11,2201400013045,SI
3588049,DEL BULEVART,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA AVENIDA DE LA LUZ #229, COLONIA COSMOS (SATELITE), C.P. 76110",Querétaro,22,014,0001,0106,,,,Fijo,20.63811348,-100.4483075,2014-12,2201400010106,SI
6273109,DEPOSITO SAN FRANCISCO,DEPOSITO SAN FRANCISCO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"AVENIDA DEL PARQUE #802, COLONIA VISTA ALEGRE, C.P. 76090",Querétaro,22,014,0001,1886,,CONSTRUSF@HOTMAIL.COM,,Fijo,20.56295985,-100.3756863,2010-07,2201400011886,SI
6418700,DEPOSITO SAN FRANCISCO,DEPOSITO SAN FRANCISCO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"AVENIDA DE LA LUZ #499, COLONIA SATELITE, C.P. 76110",Querétaro,22,014,0001,2808,,ROGEPLA@YAHOO.COM,,Fijo,20.63574707,-100.4551358,2014-12,2201400012808,SI
8735857,DISTRIBUIDOR AUTORIZADO DE SIKA,JHAZ VAL SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE VALLE DE GUADIANA #, COLONIA VALLE DE SANTIAGO, C.P. 76907",Corregidora,22,006,0017,0814,4423859347,JHAZVAL@HOTMAIL.COM,,Fijo,20.52112169,-100.4595525,2019-11,2200600170814,SI
8892288,DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCION RAMIREZ,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE 16 #1219, COLONIA LAS EUGENIAS, C.P. 76138",Querétaro,22,014,0001,4236,,,,Fijo,20.60574209,-100.4453909,2019-11,2201400014236,SI
8855056,DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCION STEEL,STEEL CONSTRUCTIONS QUERETARO S DE RL DE CV,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"AVENIDA AVENIDA DE LOS CEDROS #38, COLONIA LA CAPILLA, C.P. 76178",Querétaro,22,014,0001,1852,,,WWW.STEELCONSTRUCTIONS.COM,Fijo,20.58324307,-100.4109303,2019-11,2201400011852,SI
3567123,DISTRIBUIDORA DE MATERIALES PEÑUELAS,DISTRIBUIDORA DE MATERIALES PEÑUELAS S DE RL DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE FERROCARRILEROS #34, COLONIA PEÑUELAS, C.P. 76148",Querétaro,22,014,0001,1405,,DISTPENUELASS@HOTMAIL.COM,,Fijo,20.63032793,-100.3974221,2010-07,2201400011405,SI
3567155,DISTRIBUIDORA DE MATERIALES PEÑUELAS,DISTRIBUIDORA DE MATERIALES PEÑUELAS ,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE PLATEROS #84, COLONIA PEÑUELAS, C.P. 76148",Querétaro,22,014,0001,1405,4422460514,,,Fijo,20.62914253,-100.3953844,2010-07,2201400011405,SI
3566280,DISTRIBUIDORA HIDRAULICA DEL CENTRO,DISTRIBUIDORA HIDRAULICA DEL CENTRO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE PLATEROS #187, COLONIA SAN PEDRITO PEÑUELAS, C.P. 76148",Querétaro,22,014,0001,1354,,,,Fijo,20.63856805,-100.3950748,2010-07,2201400011354,SI
3594296,EL ESLAVON DOS,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA 5 DE FEBRERO #164, FRACCIONAMIENTO LAS CAMPANAS, C.P. 76010",Querétaro,22,014,0001,2297,4422425389,VENTAS.ESLABON2@GMAIL.COM,,Fijo,20.58915679,-100.4130446,2014-12,2201400012297,SI
3584655,EQUIPAP,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE RIO TULA #401, COLONIA LOMAS DE SAN PABLO, C.P. 76160",Querétaro,22,014,0001,0816,4422209613,,WWW.EQUIPAP.COM,Fijo,20.62051968,-100.4059225,2014-12,2201400010816,SI
6383451,EXCAVACIONES Y MATERIALES,EXCAVACIONES Y MATERIALES SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE JARDINEROS #91, COLONIA SAN PEDRITO PEÑUELAS, C.P. 76140",Querétaro,22,014,0001,1405,,,,Fijo,20.63193498,-100.4017586,2014-12,2201400011405,SI
6381312,EXCAVACIONES Y MATERIALES,EXCAVACIONES Y MATERIALES SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"BOULEVARD BERNARDO QUINTANA #180, COLONIA CARRETAS, C.P. 76050",Querétaro,22,014,0001,0479,,EYMREZ@PRODIGY.NET.MX,,Fijo,20.5910841,-100.3670657,2010-07,2201400010479,SI
3550314,FERREMATERIALES SU CASA,FERREMATERIALES SU CASA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"AVENIDA LUIS PASTEUR #139, FRACCIONAMIENTO ALAMEDA, C.P. 76040",Querétaro,22,014,0001,2348,,FERREMATERIALESSUCASA@YAHOO.COM.MX,WWWFERREMATERIALESUSCASA.COM,Fijo,20.58548317,-100.3851463,2010-07,2201400012348,SI
3559982,FERREMATERIALES Y ACEROS DE QUERETARO,FERREMATERIALES Y ACEROS DE QUERETARO SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"CALLE CALLE A MOMPANI #, COLONIA EL ROMERILLAL, C.P. 76118",Querétaro,22,014,0001,3331,4424463886,FERREMATERIALES_DE_QUERETARO@HOTMAIL.COM.MX,,Fijo,20.64655145,-100.4625234,2012-06,2201400013331,SI
8807231,FERRETERIA,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"BOULEVARD BOULEVARD DE LAS AMERICAS #, COLONIA REFORMA AGRARIA 5A SECC, C.P. 76080",Querétaro,22,014,0001,0924,,DISENSAAMERICAS@GMAIL.COM,,Fijo,20.56214501,-100.3993697,2019-11,2201400010924,SI
8706115,FERRETERIA ABA,ABA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE CERRO DEL SOMBRERETE #, COLONIA BOSQUES DE LA HACIENDA, C.P. 76148",Querétaro,22,014,0001,4490,,,,Fijo,20.64878835,-100.4161424,2019-11,2201400014490,SI
8223498,FERRETERIA CONSTRUMEX,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA MEXICO #, COLONIA CHE GEVARA, C.P. 76116",Querétaro,22,014,0236,3971,,FERRECONTRUMEX@GMAIL.COM,,Fijo,20.62708504,-100.4700564,2019-11,2201402363971,SI
3608710,FERRETERIA LA ERMITA,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"PROLONGACION INDEPENDENCIA #48, COLONIA SANTA ROSA JAUREGUI, C.P. 76220",Querétaro,22,014,0058,3721,,FERRETERIA_LAHERMITA@HOTMAIL.COM,,Fijo,20.72682633,-100.4416957,2010-07,2201400583721,SI
8833633,FERRETERIA Y MATERIALES PARA LA CONSTRUCCION SAN ANGEL,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"AVENIDA SIN REFERENCIA #, COLONIA DESARROLLO SAN ANGEL, C.P. 76148",Querétaro,22,014,0001,4503,4421865862,SANANGEL.MATERIALES@GMAIL.COM,,Fijo,20.63593305,-100.4187583,2019-11,2201400014503,SI
3566278,FERRETERIA Y MATERIALES PLATEROS,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE PLATEROS #191, COLONIA SAN PEDRITO PEÑUELAS I, C.P. 76148",Querétaro,22,014,0001,1354,4422208523,,,Fijo,20.63883173,-100.3950968,2010-07,2201400011354,SI
3585538,FERRETERIA Y MATERIALES QUIQUE,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE POPOCATEPETL #513, COLONIA LOMA BONITA, C.P. 76118",Querétaro,22,014,0001,0712,4422189332,MATERIALES_QUIQUE14@HOTMAIL.COM,,Fijo,20.65256539,-100.4507571,2014-12,2201400010712,SI
9346839,FERRETERIA Y MATERIALES RANCHO LARGO,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"BOULEVARD JURIQUILLA #1, COLONIA RANCHO LARGO, C.P. ",Querétaro,22,014,0087,0021,4426743025,MATERIALESRANCHOLARGO@GMAIL.COM,,Fijo,20.70510971,-100.4403568,2021-05,2201400870021,SI
3559461,FESABA,,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CARRETERA HUIMILPAN-CORONEO #48, COLONIA SANTA BARBARA 1RA SECC, C.P. 76905",Corregidora,22,006,0001,0195,4423382829,FESABA07@HOTMAIL.COM,,Fijo,20.5259,-100.4395792,2014-12,2200600010195,SI
8833634,FSARQUITECTURA,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA PASEO CONSTITUCION #993, FRACCIONAMIENTO SIGLO 2000, C.P. 76125",Querétaro,22,014,0001,3420,4422583899,VENTAS-REBECA@GRUPOFS.MX,WWW.FSARQUITECTURA,Fijo,20.63221453,-100.4143665,2019-11,2201400013420,SI
8807352,GECSA TRUCKING,GECSA TRUCKING SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE ALFREDO V. BONFIL #123, COLONIA EJIDO MODELO, C.P. 76177",Querétaro,22,014,0001,1833,4426476394,GONZALEZ@GECSATRUCKING.COM.MX,,Fijo,20.58070384,-100.4221684,2019-11,2201400011833,SI
9080245,GLOBAL SOLUTIONS,GLOBAL SOLUTIONS SA DE CV,"Comercio al por mayor de cemento, tabique y grava",6 a 10 personas,"CALLE SIERRA DE BUCARELI #118, COLONIA VILLAS DEL SOL, C.P. 76046",Querétaro,22,014,0001,2348,,GLOBALCOMERCIAL@GMAIL.COM,,Fijo,20.58211038,-100.3806679,2019-11,2201400012348,SI
8632534,GRAVA 3N,GRAVA 3N SA DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE MIGUEL HIDALGO #50, MANZANA CENTRO, C.P. 76000",Querétaro,22,014,0001,0360,,,,Fijo,20.59128285,-100.4030687,2019-11,2201400010360,SI
6805144,GRIFERIA,GRIFERIA BM DE MEXICO S DE RL DE CV,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE TECNOLOGICO DE QUERETARO #108, FRACCIONAMIENTO PRADOS DEL TECNOLOGICO, C.P. 76158",Querétaro,22,014,0001,1797,4423847497,,WWW.BMMEXICO.COM.MX,Fijo,20.6096072,-100.4058849,2017-11,2201400011797,SI
3595579,GRUPO CASHER,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"PROLONGACION CORREGIDORA SUR #67, COLONIA VILLAS DEL SUR, C.P. 76040",Querétaro,22,014,0001,0515,,,,Fijo,20.58194843,-100.387162,2014-12,2201400010515,SI
9264064,GRUPO CEMENTERO DEL CENTRO,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"AVENIDA CONSTITUCION #6, COLONIA CENTRO, C.P. 76220",Querétaro,22,014,0108,3134,,,,Fijo,20.73901422,-100.4434751,2020-11,2201401083134,SI
6381290,"GRUPO COMERCIAL AMORI, S.A. DE C.V.",GRUPO COMERCIAL AMORI SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"CARRETERA LIBRE 45 TRAMO A CELAYA KILËMETRO 3600 #0, COLONIA EL POCITO, C.P. ",Corregidora,22,006,0044,0180,,jshc6209309@hotmail.com,,Fijo,20.55782732,-100.4178395,2010-07,2200600440180,SI
8823448,GRUPO MATERIALISTA 4 HERMANOS,,"Comercio al por mayor de cemento, tabique y grava",0 a 5 personas,"CALLE MIGUEL HIDALGO #, COLONIA SANTA MARIA MAGDALENA, C.P. 76137",Querétaro,22,014,0107,3543,,,,Fijo,20.59483775,-100.4469606,2019-11,2201401073543,SI
8730435,GRUPO MATERIALISTA CUATRO HERMANOS,GRUPO MATERIALISTA CUATRO HERMANOS ,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"CALLE EMILIANO ZAPATA #, COLONIA SANTA MARIA MAGDALENA, C.P. 76200",Querétaro,22,014,0107,3543,,,,Fijo,20.59597513,-100.4433374,2019-11,2201401073543,SI
8079368,GRUPO MERCANTIL HUDASA,GRUPO MERCANTIL HUDASA SA DE CV,"Comercio al por mayor de cemento, tabique y grava",11 a 30 personas,"CALLE SIERRA DE ZIMAPAN #4, ZONA COMERCIAL GALERIAS CONSTITUYENTES PUERTA LA VICTORIA VILLAS FONTANA, C.P. 76040",Querétaro,22,014,0001,2348,,CONTACTO@HUDASA.MX,,Fijo,20.58542675,-100.379076,2019-11,2201400012348,SI
